,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,hallucination,hallucination,hallucination,hallucination,hallucination,factual_correctness,factual_correctness,factual_correctness,factual_correctness,factual_correctness,bleu1,bleu1,bleu1,bleu1,bleu1,bleu2,bleu2,bleu2,bleu2,bleu2,bleu3,bleu3,bleu3,bleu3,bleu3,bleu4,bleu4,bleu4,bleu4,bleu4,rouge1,rouge1,rouge1,rouge1,rouge1,rouge2,rouge2,rouge2,rouge2,rouge2,rougeL,rougeL,rougeL,rougeL,rougeL,bert_precision,bert_precision,bert_precision,bert_precision,bert_precision,bert_recall,bert_recall,bert_recall,bert_recall,bert_recall,bert_f1,bert_f1,bert_f1,bert_f1,bert_f1
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
source_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001586-005-006.txt,5,0.6096151368760065,0.323322580959857,0.1111111111111111,0.88,5,0.792948717948718,0.35413113291984105,0.16666666666666666,1.0,5,0.5567277167277167,0.154841215802942,0.35714285714285715,0.7777777777777778,5,1.0,0.0,1.0,1.0,5,0.3756603879301625,0.2614971583412748,0.1904650538956921,0.8302834712394567,5,0.011965350961876762,0.007418413003857783,0.0057518488085456015,0.024144869215291746,5,0.005063498912350458,0.005716638567401895,1.1312952055931459e-155,0.0120785118466956,5,0.0032955335602764674,0.0045159319061752615,1.6217495538280433e-204,0.008484295784731508,5,0.002130624967473474,0.0029631729381167744,5.0171858528661776e-232,0.006059656820718758,5,0.026033092331626505,0.015172153290354084,0.013148283418553688,0.04986642920747996,5,0.007323728595956434,0.009534680055725525,0.0,0.02061855670103093,5,0.021953830609540786,0.0108348058195238,0.010226442658875092,0.03561887800534282,5,0.7142061352729797,0.0338918652110893,0.6889785528182983,0.7717264890670776,5,0.7901179552078247,0.04067373139669903,0.7326826453208923,0.8459471464157104,5,0.7501399874687195,0.03582290264640601,0.7101588845252991,0.8071341514587402
1001586-009-016.txt,5,0.6134738186462324,0.33355818201949794,0.18518518518518517,0.9655172413793104,5,0.9857142857142858,0.03194382824999699,0.9285714285714286,1.0,5,0.7166666666666667,0.32058973436118904,0.3333333333333333,1.0,5,1.0,0.0,1.0,1.0,5,0.6283539618038644,0.25817482448269446,0.3777061907855782,0.9,5,0.01789869039203467,0.006540000844068178,0.011866235167206045,0.02793834296724471,5,0.0103890045336774,0.003940650569563187,0.005712420738480726,0.016413868282892544,5,0.007133832725029435,0.002480589867218733,0.0032479209702679385,0.009647627300768437,5,0.004396285002401502,0.0025450605590349156,1.5910679369451517e-79,0.006407248924366669,5,0.03809339543758983,0.012766080240552593,0.02620967741935484,0.0583554376657825,5,0.014008743162678777,0.0050377011016421915,0.008130081300813007,0.021257750221434897,5,0.035464787407130195,0.012905460749541043,0.024350649350649352,0.05481874447391688,5,0.7558233141899109,0.03827759217386596,0.7128017544746399,0.8039572834968567,5,0.81439288854599,0.019194193699539435,0.7877074480056763,0.8369835615158081,5,0.78383868932724,0.028379589206327435,0.748384952545166,0.8155587315559387
1001586-017-038.txt,5,0.8017045454545455,0.21621166000354283,0.4772727272727273,1.0,5,1.0,0.0,1.0,1.0,5,0.9051282051282051,0.13914834411502705,0.6923076923076923,1.0,5,0.6,0.5477225575051661,0.0,1.0,5,0.8131643956954591,0.09597771834770447,0.6870329592741931,0.90474258718312,5,0.020058508361856693,0.00454790298860176,0.014695591322603226,0.026168224299065422,5,0.010625705862847671,0.004549836478032194,0.004536745604055275,0.015474594671117241,5,0.006234739595442833,0.004329618026933858,8.473737070172022e-104,0.011274775115281787,5,0.003463352861285054,0.0035950236331906372,1.0047185698633007e-155,0.00850598637159241,5,0.04664883811692612,0.010120499250545326,0.03793103448275862,0.06359832635983263,5,0.017336042247835436,0.007109785937054904,0.010362694300518133,0.026823134953897737,5,0.03802274219917645,0.009088614923999372,0.025333333333333333,0.0502092050209205,5,0.7661413550376892,0.03465126687234456,0.7299536466598511,0.8078632354736328,5,0.8288019180297852,0.012998175395876567,0.8103567361831665,0.8471201658248901,5,0.7960539698600769,0.023798542842965068,0.7680567502975464,0.8270260691642761
1001586-039-074.txt,5,0.9109717868338558,0.12696118269356266,0.7272727272727273,1.0,5,0.8900395256916995,0.13623250841466192,0.6956521739130435,1.0,5,0.7217460317460318,0.0695556932036629,0.6111111111111112,0.8,5,0.8,0.4472135954999579,0.0,1.0,5,0.7766214586339576,0.23580183887201425,0.35944763717733746,0.9182425528251267,5,0.02041140878523215,0.006659031455843992,0.012184508268059184,0.028155339805825238,5,0.01065461751213605,0.005255053983944958,0.003257864816153412,0.01612370933128416,5,0.007041741250588684,0.006434588495924083,6.810193967122344e-104,0.012122679434828164,5,0.005632027131887049,0.005174518139679099,8.514099974144774e-156,0.010137484499457112,5,0.04406692821029543,0.015072255637030449,0.028286189683860236,0.06227758007117437,5,0.014130424686433926,0.009195494152792893,0.0032025620496397116,0.02325581395348837,5,0.03546521305334203,0.01052918004380981,0.023980815347721823,0.0477815699658703,5,0.748946750164032,0.04472253584146857,0.6795899271965027,0.8004580736160278,5,0.8272501468658447,0.021754405519409183,0.793462336063385,0.8490279912948608,5,0.7856759786605835,0.03051054614032606,0.7439360022544861,0.824027955532074
1001586-075-102.txt,5,0.9482517482517483,0.07997750184892749,0.8181818181818182,1.0,5,0.9428571428571428,0.12777531299998796,0.7142857142857143,1.0,5,0.8048107448107448,0.14498019599832054,0.6428571428571429,1.0,5,0.8,0.4472135954999579,0.0,1.0,5,0.7877562736654224,0.11718274080546702,0.6062510450029659,0.8977022629253669,5,0.02116162319007995,0.00871867710426041,0.014059753954305804,0.03203203203203203,5,0.009142311776021607,0.003889755796498226,0.004973059161303229,0.013877224033860807,5,0.0049083938436860815,0.0030130931877137886,9.003165951550755e-104,0.007650506915535993,5,0.002478492703410868,0.0022708947310143167,1.0519231881000852e-155,0.004437825021950272,5,0.04889558201928236,0.021146476015170446,0.028146989835809225,0.07843137254901962,5,0.012902952639686582,0.007340137620456653,0.00460122699386503,0.022203245089666947,5,0.04310566762003616,0.019909370512217233,0.027565084226646244,0.06990622335890878,5,0.7762982845306396,0.045848380269944894,0.7068794965744019,0.826449453830719,5,0.8222023844718933,0.03649559551617265,0.765694797039032,0.8594781160354614,5,0.7985542178153991,0.041467644151898624,0.7351126074790955,0.842640221118927
1001586-103-122.txt,5,0.6504152097902098,0.4027207362012525,0.203125,1.0,5,1.0,0.0,1.0,1.0,5,0.8504436739730858,0.1807945820240664,0.5714285714285714,1.0,5,0.6,0.5477225575051662,0.0,1.0,5,0.8684184498851364,0.06050096836029344,0.7607310868908476,0.9010986945099866,5,0.02040630247736152,0.007064888167248399,0.010660980810234545,0.02943882244710211,5,0.011077662792472711,0.0047398906095934105,0.005842374777637355,0.017267984377309174,5,0.005920155297598399,0.00420253532656587,1.1604990582785612e-103,0.010803574487265998,5,0.0022629236160244454,0.0031869318749477293,1.2749889037185967e-155,0.006710865970777905,5,0.0446553322725937,0.015194728002414207,0.022750775594622543,0.060278207109737254,5,0.016095261817836118,0.008844710992145153,0.006217616580310881,0.027642276422764223,5,0.03255741944899235,0.01050505955446971,0.01861427094105481,0.045454545454545456,5,0.7797482252120972,0.03710654413001253,0.7229747772216797,0.8239560127258301,5,0.8343885183334351,0.01801894093443737,0.8128988742828369,0.8532024621963501,5,0.8059963464736939,0.02770066587512575,0.7653043270111084,0.838324248790741
1001586-123-126.txt,5,0.6139820565907522,0.28159288962854245,0.2,0.8571428571428571,5,0.5246031746031746,0.4319239829350965,0.0,1.0,5,0.7313519813519813,0.14212769420145643,0.5833333333333334,0.9,5,1.0,0.0,1.0,1.0,5,0.489941487341827,0.31552992050678796,0.1377540675801802,0.897068777062659,5,0.022115794576212027,0.007600478756376192,0.010516252390057358,0.029702970297029705,5,0.005990800764439451,0.005103187268885519,2.570822878533981e-155,0.013190738077220265,5,9.152070230312135e-104,6.492363341316435e-104,2.7878620846633242e-204,1.713962304898326e-103,5,9.976143857796334e-156,6.49772031690273e-156,7.563247174249085e-232,1.7131948654499258e-155,5,0.0468819518877991,0.019033626866461508,0.02654028436018957,0.07344632768361582,5,0.00791505259769319,0.004898314695967967,0.005080440304826418,0.016632016632016633,5,0.03541233995409374,0.012997006064689468,0.018957345971563982,0.04554865424430642,5,0.7022711157798767,0.051618371191647326,0.6596360206604004,0.7916054725646973,5,0.8024813532829285,0.0204040246590196,0.7714675664901733,0.8235812187194824,5,0.7484850764274598,0.034680370809273185,0.7214372754096985,0.8072767853736877
1001586-127-131.txt,5,0.7226890756302521,0.19578118726217006,0.47058823529411764,1.0,5,0.518840579710145,0.39082095746511714,0.0,1.0,5,0.7910173160173161,0.2559313299599454,0.375,1.0,5,1.0,0.0,1.0,1.0,5,0.3272721514740959,0.30288527402549753,0.09525741239613983,0.8029362455252246,5,0.03012878813166226,0.031035182986973258,0.010286554004408527,0.08510638297872339,5,0.012707642737395696,0.01214942526674072,0.002750207746753032,0.033686076842660756,5,0.0028981929087423574,0.0045665317786810055,6.089826126459237e-104,0.010440512312456482,5,0.0017876347723576546,0.0039972728699340775,7.82266921374311e-156,0.008938173861788273,5,0.06207967711193024,0.05213337059537607,0.025604551920341397,0.15353535353535352,5,0.013684689760076193,0.007327355970515623,0.007122507122507123,0.02434077079107505,5,0.04227020838612857,0.025368739704641156,0.017069701280227594,0.08484848484848485,5,0.7654916405677795,0.03574196375731314,0.7129553556442261,0.8102625608444214,5,0.8145294427871704,0.018578513493752447,0.7847464084625244,0.8321533203125,5,0.7888882040977478,0.022773246056776175,0.7653035521507263,0.8210620880126953
